Drink Name,Calories,Fat,Protein,Carbohydrates,Ingredients
Hot tea,0.01,0.0,0.0,0.0,No Info
Cold Brew,0.34,0.0,0.0,0.09,No Info
Hot Cocoa,113.3,1.13,1.9,23.77,No Info
Caprisun,No Info,No Info,No Info,No Info,No Info
Arizona Iced Tea,88.53,0.0,0.0,22.18,No Info
Sprite,0.41,0.0,0.0,0.1,No Info
Coca-Cola,0.37,0.0,0.0,0.1,No Info
Cold Glass of Milk,141.6,7.55,7.74,11.02,No Info
Cold Glass of Soy Milk,106.2,4.7,6.94,8.14,No Info
